Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000164816,DEFA5,Gene Expression,0.612288662653438,0.0,0.0,15513,13.426747616094445,348
ENSG00000163586,FABP1,Gene Expression,0.5694743121245625,0.0,0.0,11371,13.974095010549247,365
ENSG00000115386,REG1A,Gene Expression,0.48588665413809695,0.0,0.0,3663,2.869759415226672,240
ENSG00000164822,DEFA6,Gene Expression,0.46197010471512706,0.0,0.0,3352,2.9838701367351423,231
ENSG00000164692,COL1A2,Gene Expression,0.43051051293410353,0.0,0.0,3317,2.928798134466568,258
ENSG00000233041,PHGR1,Gene Expression,0.42198433077863906,0.0,0.0,13734,13.877962940784489,363
ENSG00000172023,REG1B,Gene Expression,0.40066591585726347,0.0,0.0,788,0.6231544772316467,126
ENSG00000166710,B2M,Gene Expression,0.3987192194287672,0.0,0.0,15714,16.742657043532255,365
ENSG00000007306,CEACAM7,Gene Expression,0.3879864703222664,0.0,0.0,2473,3.484096425796558,298
ENSG00000142168,SOD1,Gene Expression,0.386267626098525,0.0,0.0,2440,1.8835391718493777,242
ENSG00000133313,CNDP2,Gene Expression,0.38117437801870885,0.0,0.0,1474,1.168873948541212,220
ENSG00000211899,IGHM,Gene Expression,0.3739555898692044,0.0,0.0,10905,9.183293075092585,330
ENSG00000100219,XBP1,Gene Expression,0.36406748210768747,0.0,0.0,2522,2.347955993829207,267
ENSG00000091138,SLC26A3,Gene Expression,0.36378046046476403,0.0,0.0,3653,4.636576706019972,327
ENSG00000188257,PLA2G2A,Gene Expression,0.35370506231349513,0.0,0.0,3686,2.9827488053823417,279
ENSG00000211592,IGKC,Gene Expression,0.34913276016225797,0.0,0.0,89869,102.17623927481881,367
ENSG00000115461,IGFBP5,Gene Expression,0.33319367038187275,0.0,0.0,932,0.7415301511558934,178
ENSG00000132465,JCHAIN,Gene Expression,0.33199722920731,0.0,0.0,13616,17.448242947587996,365
ENSG00000102837,OLFM4,Gene Expression,0.32885179390145686,0.0,0.0,1334,1.185026825734992,203
ENSG00000122711,SPINK4,Gene Expression,0.32675006276724394,0.0,0.0,2345,1.8829592255240504,248
ENSG00000197956,S100A6,Gene Expression,0.32019046240505755,0.0,0.0,22204,19.24363539986701,365
